t,loop_dt,cmd_ant_l,cmd_ant_r,pres_ant_l,pres_ant_r
4.0998,0.016759,-0.330122,0.330122,-0.343612,0.345146
4.1165,0.016758,-0.323398,0.323398,-0.343612,0.345146
4.1333,0.016760,-0.315746,0.315746,-0.343612,0.342078
4.1501,0.016751,-0.307218,0.307218,-0.340544,0.337476
4.1668,0.016752,-0.297863,0.297863,-0.334408,0.331340
4.1839,0.017058,-0.287549,0.287549,-0.326738,0.326738
4.2006,0.016759,-0.276704,0.276704,-0.314466,0.312932
4.2174,0.016770,-0.265214,0.265214,-0.314466,0.312932
4.2342,0.016759,-0.253166,0.253166,-0.305262,0.303728
4.2509,0.016754,-0.240633,0.240633,-0.296058,0.294524
4.2679,0.017036,-0.227466,0.227466,-0.279185,0.280718
4.2847,0.016754,-0.214184,0.214184,-0.266913,0.269981
4.3015,0.016764,-0.200647,0.200647,-0.251573,0.250039
4.3182,0.016751,-0.186958,0.186958,-0.251573,0.250039
4.3350,0.016749,-0.173193,0.173193,-0.236233,0.236233
4.3517,0.016758,-0.159429,0.159429,-0.222427,0.223961
4.3685,0.016757,-0.145760,0.145760,-0.207087,0.210155
4.3852,0.016756,-0.132271,0.132271,-0.191748,0.188680
4.4020,0.016811,-0.119003,0.119003,-0.176408,0.170272
4.4188,0.016762,-0.106120,0.106120,-0.176408,0.170272
4.4356,0.016753,-0.093670,0.093670,-0.159534,0.154932
4.4523,0.016760,-0.081719,0.081719,-0.145728,0.144194
4.4691,0.016768,-0.070341,0.070341,-0.131922,0.131922
4.4859,0.016766,-0.059615,0.059615,-0.118117,0.115049
4.5026,0.016764,-0.049607,0.049607,-0.096641,0.095107
4.5194,0.016763,-0.040378,0.040378,-0.096641,0.095107
4.5361,0.016760,-0.031988,0.031988,-0.078233,0.079767
4.5529,0.016759,-0.024487,0.024487,-0.072097,0.070563
4.5697,0.016767,-0.017919,0.017919,-0.058291,0.058291
4.5864,0.016749,-0.012332,0.012332,-0.044485,0.049087
4.6032,0.016750,-0.007756,0.007756,-0.044485,0.049087
4.6199,0.016747,-0.004219,0.004219,-0.019942,0.023010
4.6367,0.016743,-0.001742,0.001742,-0.019942,0.016874
4.6534,0.016750,-0.000341,0.000341,-0.019942,0.016874
4.6702,0.016761,-0.000024,0.000024,-0.003068,0.004602
4.6869,0.016752,-0.000794,0.000794,-0.003068,0.003068
4.7037,0.016773,-0.002650,0.002650,-0.003068,0.003068
4.7205,0.016758,-0.005576,0.005576,-0.001534,0.000000
4.7372,0.016753,-0.009554,0.009554,0.004602,-0.001534
4.7540,0.016756,-0.014560,0.014560,0.000000,0.003068
4.7708,0.016801,-0.020581,0.020581,-0.009204,0.006136
4.7875,0.016760,-0.027548,0.027548,-0.012272,0.013806
4.8043,0.016787,-0.035444,0.035444,-0.016874,0.018408
4.8211,0.016760,-0.044196,0.044196,-0.016874,0.018408
4.8378,0.016757,-0.053760,0.053760,-0.029146,0.021476
4.8548,0.016924,-0.064182,0.064182,-0.029146,0.027612
4.8715,0.016758,-0.075193,0.075193,-0.036816,0.038350
4.8883,0.016755,-0.086821,0.086821,-0.058291,0.052155
4.9050,0.016762,-0.099001,0.099001,-0.058291,0.052155
4.9218,0.016759,-0.111650,0.111650,-0.064427,0.064427
4.9385,0.016758,-0.124689,0.124689,-0.076699,0.078233
